"","County Name","District Name","School Name"
"1","State","",""
"2","Alameda","",""
"3","Alameda","Alameda County Office of Education","District Office"
"4","Alameda","Alameda Unified","District Office"
"5","Alameda","Albany City Unified","District Office"
"6","Alameda","Berkeley Unified","District Office"
"7","Alameda","California School for the Blind (State Special Schl)","District Office"
"8","Alameda","California School for the Deaf-Fremont (State Special Schl)","District Office"
"9","Alameda","Castro Valley Unified","District Office"
"10","Alameda","Dublin Unified","District Office"
"11","Alameda","Emery Unified","District Office"
"12","Alameda","Fremont Unified","District Office"
"13","Alameda","Hayward Unified","District Office"
"14","Alameda","Livermore Valley Joint Unified","District Office"
"15","Alameda","Mountain House Elementary","District Office"
"16","Alameda","New Haven Unified","District Office"
"17","Alameda","Newark Unified","District Office"
"18","Alameda","Oakland Unified","District Office"
"19","Alameda","Piedmont City Unified","District Office"
"20","Alameda","Pleasanton Unified","District Office"
"21","Alameda","San Leandro Unified","District Office"
"22","Alameda","San Lorenzo Unified","District Office"
"23","Alameda","SBE - Latitude 37.8 High","District Office"
"24","Alameda","Sunol Glen Unified","District Office"
"25","Alameda","Alameda County Office of Education","Alameda County Community"
"26","Alameda","Alameda County Office of Education","Alameda County Juvenile Hall/Court"
"27","Alameda","Alameda County Office of Education","Alternatives in Action"
"28","Alameda","Alameda County Office of Education","Aurum Preparatory Academy"
"29","Alameda","Alameda County Office of Education","Community School for Creative Education"
"30","Alameda","Alameda County Office of Education","Connecting Waters Charter - East Bay"
"31","Alameda","Alameda County Office of Education","Cox Academy"
"32","Alameda","Alameda County Office of Education","Envision Academy for Arts & Technology"
"33","Alameda","Alameda County Office of Education","Hayward Collegiate Charter"
"34","Alameda","Alameda County Office of Education","Lazear Charter Academy"
"35","Alameda","Alameda County Office of Education","Oakland Unity Middle"
"36","Alameda","Alameda County Office of Education","Opportunity Academy"
"37","Alameda","Alameda County Office of Education","Urban Montessori Charter"
"38","Alameda","Alameda County Office of Education","Yu Ming Charter"
"39","Alameda","Alameda Unified","Alameda Community Learning Center"
"40","Alameda","Alameda Unified","Alameda High"
"41","Alameda","Alameda Unified","Alameda Science and Technology Institute"
"42","Alameda","Alameda Unified","Amelia Earhart Elementary"
"43","Alameda","Alameda Unified","Bay Farm"
"44","Alameda","Alameda Unified","Edison Elementary"
"45","Alameda","Alameda Unified","Encinal Junior/Senior High"
"46","Alameda","Alameda Unified","Frank Otis Elementary"
"47","Alameda","Alameda Unified","Franklin Elementary"
"48","Alameda","Alameda Unified","Island High (Continuation)"
"49","Alameda","Alameda Unified","Lincoln Middle"
"50","Alameda","Alameda Unified","Love Elementary"
"51","Alameda","Alameda Unified","Maya Lin"
"52","Alameda","Alameda Unified","Nea Community Learning Center"
"53","Alameda","Alameda Unified","Ruby Bridges Elementary"
"54","Alameda","Alameda Unified","The Academy of Alameda"
"55","Alameda","Alameda Unified","The Academy of Alameda Elementary"
"56","Alameda","Alameda Unified","Will C. Wood Middle"
"57","Alameda","Alameda Unified","William G. Paden Elementary"
"58","Alameda","Albany City Unified","Albany High"
"59","Alameda","Albany City Unified","Albany Middle"
"60","Alameda","Albany City Unified","Cornell Elementary"
"61","Alameda","Albany City Unified","MacGregor High (Continuation)"
"62","Alameda","Albany City Unified","Marin Elementary"
"63","Alameda","Albany City Unified","Ocean View Elementary"
"64","Alameda","Berkeley Unified","Berkeley Arts Magnet at Whittier"
"65","Alameda","Berkeley Unified","Berkeley High"
"66","Alameda","Berkeley Unified","Berkeley Technology Academy"
"67","Alameda","Berkeley Unified","Cragmont Elementary"
"68","Alameda","Berkeley Unified","Emerson Elementary"
"69","Alameda","Berkeley Unified","John Muir Elementary"
"70","Alameda","Berkeley Unified","Longfellow Arts and Technology Middle"
"71","Alameda","Berkeley Unified","Malcolm X Elementary"
"72","Alameda","Berkeley Unified","Martin Luther King Middle"
"73","Alameda","Berkeley Unified","Oxford Elementary at West Campus"
"74","Alameda","Berkeley Unified","Rosa Parks Environmental Science"
"75","Alameda","Berkeley Unified","Ruth Acty Elementary"
"76","Alameda","Berkeley Unified","Sylvia Mendez Elementary"
"77","Alameda","Berkeley Unified","Thousand Oaks Elementary"
"78","Alameda","Berkeley Unified","Washington Elementary"
"79","Alameda","Berkeley Unified","Willard Middle"
"80","Alameda","California School for the Blind (State Special Schl)","California School for the Blind"
"81","Alameda","California School for the Deaf-Fremont (State Special Schl)","California School for the Deaf-Fremont"
"82","Alameda","Castro Valley Unified","Canyon Middle"
"83","Alameda","Castro Valley Unified","Castro Valley Elementary"
"84","Alameda","Castro Valley Unified","Castro Valley High"
"85","Alameda","Castro Valley Unified","Castro Valley Virtual Academy"
"86","Alameda","Castro Valley Unified","Chabot Elementary"
"87","Alameda","Castro Valley Unified","Creekside Middle"
"88","Alameda","Castro Valley Unified","Independent Elementary"
"89","Alameda","Castro Valley Unified","Jensen Ranch Elementary"
"90","Alameda","Castro Valley Unified","Marshall Elementary"
"91","Alameda","Castro Valley Unified","Nonpublic, Nonsectarian Schools"
"92","Alameda","Castro Valley Unified","Palomares Elementary"
"93","Alameda","Castro Valley Unified","Proctor Elementary"
"94","Alameda","Castro Valley Unified","Redwood Continuation High"
"95","Alameda","Castro Valley Unified","Roy A. Johnson High"
"96","Alameda","Castro Valley Unified","Stanton Elementary"
"97","Alameda","Castro Valley Unified","Vannoy Elementary"
"98","Alameda","Dublin Unified","Cottonwood Creek"
"99","Alameda","Dublin Unified","Dublin Elementary"
"100","Alameda","Dublin Unified","Dublin High"
"101","Alameda","Dublin Unified","Dublin Unified Transition Program"
"102","Alameda","Dublin Unified","Eleanor Murray Fallon"
"103","Alameda","Dublin Unified","Frederiksen Elementary"
"104","Alameda","Dublin Unified","Harold William Kolb"
"105","Alameda","Dublin Unified","J. M. Amador Elementary"
"106","Alameda","Dublin Unified","James Dougherty Elementary"
"107","Alameda","Dublin Unified","John Green Elementary"
"108","Alameda","Dublin Unified","Murray Elementary"
"109","Alameda","Dublin Unified","Valley High (Continuation)"
"110","Alameda","Dublin Unified","Wells Middle"
"111","Alameda","Emery Unified","Anna Yates Elementary"
"112","Alameda","Emery Unified","Emery Secondary"
"113","Alameda","Fremont Unified","American High"
"114","Alameda","Fremont Unified","Ardenwood Elementary"
"115","Alameda","Fremont Unified","Brier Elementary"
"116","Alameda","Fremont Unified","Brookvale Elementary"
"117","Alameda","Fremont Unified","Cabrillo Elementary"
"118","Alameda","Fremont Unified","Centerville Junior High"
"119","Alameda","Fremont Unified","Circle of Independent Learning"
"120","Alameda","Fremont Unified","E. M. Grimmer Elementary"
"121","Alameda","Fremont Unified","Forest Park Elementary"
"122","Alameda","Fremont Unified","Fred E. Weibel Elementary"
"123","Alameda","Fremont Unified","G. M. Walters Middle"
"124","Alameda","Fremont Unified","Glenmoor Elementary"
"125","Alameda","Fremont Unified","Harvey Green Elementary"
"126","Alameda","Fremont Unified","Irvington High"
"127","Alameda","Fremont Unified","J. Haley Durham Elementary"
"128","Alameda","Fremont Unified","James Leitch Elementary"
"129","Alameda","Fremont Unified","John Blacow Elementary"
"130","Alameda","Fremont Unified","John F. Kennedy High"
"131","Alameda","Fremont Unified","John G. Mattos Elementary"
"132","Alameda","Fremont Unified","John Gomes Elementary"
"133","Alameda","Fremont Unified","John M. Horner Middle"
"134","Alameda","Fremont Unified","Joseph Azevada Elementary"
"135","Alameda","Fremont Unified","Joshua Chadbourne Elementary"
"136","Alameda","Fremont Unified","Mission San Jose Elementary"
"137","Alameda","Fremont Unified","Mission San Jose High"
"138","Alameda","Fremont Unified","Mission Valley Elementary"
"139","Alameda","Fremont Unified","Niles Elementary"
"140","Alameda","Fremont Unified","O. N. Hirsch Elementary"
"141","Alameda","Fremont Unified","Oliveira Elementary"
"142","Alameda","Fremont Unified","Parkmont Elementary"
"143","Alameda","Fremont Unified","Patterson Elementary"
"144","Alameda","Fremont Unified","Robertson High (Continuation)"
"145","Alameda","Fremont Unified","Steven Millard Elementary"
"146","Alameda","Fremont Unified","Thornton Junior High"
"147","Alameda","Fremont Unified","Tom Maloney Elementary"
"148","Alameda","Fremont Unified","Vallejo Mill Elementary"
"149","Alameda","Fremont Unified","Vista Alternative"
"150","Alameda","Fremont Unified","Warm Springs Elementary"
"151","Alameda","Fremont Unified","Warwick Elementary"
"152","Alameda","Fremont Unified","Washington High"
"153","Alameda","Fremont Unified","William Hopkins Junior High"
"154","Alameda","Fremont Unified","Young Adult Program"
"155","Alameda","Hayward Unified","Anthony W. Ochoa Middle"
"156","Alameda","Hayward Unified","Bowman Elementary"
"157","Alameda","Hayward Unified","Brenkwitz High"
"158","Alameda","Hayward Unified","Bret Harte Middle"
"159","Alameda","Hayward Unified","Burbank Elementary"
"160","Alameda","Hayward Unified","Cesar Chavez Middle"
"161","Alameda","Hayward Unified","Cherryland Elementary"
"162","Alameda","Hayward Unified","East Avenue Elementary"
"163","Alameda","Hayward Unified","Eden Gardens Elementary"
"164","Alameda","Hayward Unified","Eldridge Elementary"
"165","Alameda","Hayward Unified","Fairview Elementary"
"166","Alameda","Hayward Unified","Faith Ringgold School of Arts and Science"
"167","Alameda","Hayward Unified","Glassbrook Elementary"
"168","Alameda","Hayward Unified","Harder Elementary"
"169","Alameda","Hayward Unified","Hayward High"
"170","Alameda","Hayward Unified","Hayward Twin Oaks Montessori"
"171","Alameda","Hayward Unified","Impact Academy of Arts & Technology"
"172","Alameda","Hayward Unified","Knowledge Enlightens You (KEY) Academy"
"173","Alameda","Hayward Unified","Longwood Elementary"
"174","Alameda","Hayward Unified","Lorin A. Eden Elementary"
"175","Alameda","Hayward Unified","Martin Luther King, Jr. Middle"
"176","Alameda","Hayward Unified","Mt. Eden High"
"177","Alameda","Hayward Unified","Palma Ceia Elementary"
"178","Alameda","Hayward Unified","Park Elementary"
"179","Alameda","Hayward Unified","Ruus Elementary"
"180","Alameda","Hayward Unified","Schafer Park Elementary"
"181","Alameda","Hayward Unified","Southgate Elementary"
"182","Alameda","Hayward Unified","Stonebrae Elementary"
"183","Alameda","Hayward Unified","Strobridge Elementary"
"184","Alameda","Hayward Unified","Tennyson High"
"185","Alameda","Hayward Unified","Treeview Elementary"
"186","Alameda","Hayward Unified","Tyrrell Elementary"
"187","Alameda","Hayward Unified","Winton Middle"
"188","Alameda","Livermore Valley Joint Unified","Altamont Creek Elementary"
"189","Alameda","Livermore Valley Joint Unified","Andrew N. Christensen Middle"
"190","Alameda","Livermore Valley Joint Unified","Arroyo Seco Elementary"
"191","Alameda","Livermore Valley Joint Unified","Del Valle Continuation High"
"192","Alameda","Livermore Valley Joint Unified","East Avenue Middle"
"193","Alameda","Livermore Valley Joint Unified","Emma C. Smith Elementary"
"194","Alameda","Livermore Valley Joint Unified","Granada High"
"195","Alameda","Livermore Valley Joint Unified","Jackson Avenue Elementary"
"196","Alameda","Livermore Valley Joint Unified","Joe Michell"
"197","Alameda","Livermore Valley Joint Unified","Junction K-8"
"198","Alameda","Livermore Valley Joint Unified","Lawrence Elementary"
"199","Alameda","Livermore Valley Joint Unified","Leo R. Croce Elementary"
"200","Alameda","Livermore Valley Joint Unified","Livermore High"
"201","Alameda","Livermore Valley Joint Unified","Marylin Avenue Elementary"
"202","Alameda","Livermore Valley Joint Unified","Rancho Las Positas Elementary"
"203","Alameda","Livermore Valley Joint Unified","Sunset Elementary"
"204","Alameda","Livermore Valley Joint Unified","Vineyard Alternative"
"205","Alameda","Livermore Valley Joint Unified","William Mendenhall Middle"
"206","Alameda","Mountain House Elementary","Mountain House Elementary"
"207","Alameda","New Haven Unified","Alternative Learning Academy at Conley-Caraballo High"
"208","Alameda","New Haven Unified","Alvarado Elementary"
"209","Alameda","New Haven Unified","Cesar Chavez Middle"
"210","Alameda","New Haven Unified","Core Learning Academy at Conley-Caraballo High"
"211","Alameda","New Haven Unified","Decoto School for Independent Study"
"212","Alameda","New Haven Unified","Delaine Eastin Elementary"
"213","Alameda","New Haven Unified","Guy Jr. Emanuele Elementary"
"214","Alameda","New Haven Unified","Hillview Crest Elementary"
"215","Alameda","New Haven Unified","Itliong-Vera Cruz"
"216","Alameda","New Haven Unified","James Logan High"
"217","Alameda","New Haven Unified","Nonpublic, Nonsectarian Schools"
"218","Alameda","New Haven Unified","Pioneer Elementary"
"219","Alameda","New Haven Unified","Searles Elementary"
"220","Alameda","New Haven Unified","Tom Kitayama Elementary"
"221","Alameda","Newark Unified","August Schilling Elementary"
"222","Alameda","Newark Unified","Birch Grove Intermediate"
"223","Alameda","Newark Unified","Birch Grove Primary"
"224","Alameda","Newark Unified","Bridgepoint High (Continuation)"
"225","Alameda","Newark Unified","Coyote Hills Elementary"
"226","Alameda","Newark Unified","Crossroads High (Alternative)"
"227","Alameda","Newark Unified","E. L. Musick Elementary"
"228","Alameda","Newark Unified","John F. Kennedy Elementary"
"229","Alameda","Newark Unified","Lincoln Elementary"
"230","Alameda","Newark Unified","Newark Junior High"
"231","Alameda","Newark Unified","Newark Memorial High"
"232","Alameda","Oakland Unified","Achieve Academy"
"233","Alameda","Oakland Unified","ACORN Woodland Elementary"
"234","Alameda","Oakland Unified","AIMS College Prep High"
"235","Alameda","Oakland Unified","AIMS College Prep Middle"
"236","Alameda","Oakland Unified","Allendale Elementary"
"237","Alameda","Oakland Unified","American Indian Public Charter II"
"238","Alameda","Oakland Unified","ARISE High"
"239","Alameda","Oakland Unified","ASCEND"
"240","Alameda","Oakland Unified","Aspire Berkley Maynard Academy"
"241","Alameda","Oakland Unified","Aspire College Academy"
"242","Alameda","Oakland Unified","Aspire Golden State College Preparatory Academy"
"243","Alameda","Oakland Unified","Aspire Lionel Wilson College Preparatory Academy"
"244","Alameda","Oakland Unified","Aspire Monarch Academy"
"245","Alameda","Oakland Unified","Aspire Triumph Technology Academy"
"246","Alameda","Oakland Unified","Bay Area Technology"
"247","Alameda","Oakland Unified","Bella Vista Elementary"
"248","Alameda","Oakland Unified","Bret Harte Middle"
"249","Alameda","Oakland Unified","Bridges @ Melrose Academy"
"250","Alameda","Oakland Unified","Brookfield Elementary"
"251","Alameda","Oakland Unified","Burckhalter Elementary"
"252","Alameda","Oakland Unified","Carl B. Munck Elementary"
"253","Alameda","Oakland Unified","Castlemont High"
"254","Alameda","Oakland Unified","Chabot Elementary"
"255","Alameda","Oakland Unified","Claremont Middle"
"256","Alameda","Oakland Unified","Cleveland Elementary"
"257","Alameda","Oakland Unified","Coliseum College Prep Academy"
"258","Alameda","Oakland Unified","Community Day"
"259","Alameda","Oakland Unified","Crocker Highlands Elementary"
"260","Alameda","Oakland Unified","Dewey Academy"
"261","Alameda","Oakland Unified","Downtown Charter Academy"
"262","Alameda","Oakland Unified","East Bay Innovation Academy"
"263","Alameda","Oakland Unified","East Oakland Pride Elementary"
"264","Alameda","Oakland Unified","Edna Brewer Middle"
"265","Alameda","Oakland Unified","Elmhurst United Middle"
"266","Alameda","Oakland Unified","Emerson Elementary"
"267","Alameda","Oakland Unified","EnCompass Academy Elementary"
"268","Alameda","Oakland Unified","Esperanza Elementary"
"269","Alameda","Oakland Unified","Francophone Charter School of Oakland"
"270","Alameda","Oakland Unified","Franklin Elementary"
"271","Alameda","Oakland Unified","Fred T. Korematsu Discovery Academy"
"272","Alameda","Oakland Unified","Fremont High"
"273","Alameda","Oakland Unified","Frick United Academy of Language"
"274","Alameda","Oakland Unified","Fruitvale Elementary"
"275","Alameda","Oakland Unified","Garfield Elementary"
"276","Alameda","Oakland Unified","Glenview Elementary"
"277","Alameda","Oakland Unified","Global Family"
"278","Alameda","Oakland Unified","Grass Valley Elementary"
"279","Alameda","Oakland Unified","Greenleaf"
"280","Alameda","Oakland Unified","Hillcrest"
"281","Alameda","Oakland Unified","Hoover Elementary"
"282","Alameda","Oakland Unified","Horace Mann Elementary"
"283","Alameda","Oakland Unified","Independent Study, Sojourner Truth"
"284","Alameda","Oakland Unified","International Community Elementary"
"285","Alameda","Oakland Unified","Joaquin Miller Elementary"
"286","Alameda","Oakland Unified","KIPP Bridge Academy"
"287","Alameda","Oakland Unified","La Escuelita"
"288","Alameda","Oakland Unified","Laurel Elementary"
"289","Alameda","Oakland Unified","Learning Without Limits"
"290","Alameda","Oakland Unified","LIFE Academy"
"291","Alameda","Oakland Unified","Lighthouse Community Charter"
"292","Alameda","Oakland Unified","Lighthouse Community Charter High"
"293","Alameda","Oakland Unified","Lincoln Elementary"
"294","Alameda","Oakland Unified","Lockwood STEAM Academy Elementary"
"295","Alameda","Oakland Unified","Lodestar: A Lighthouse Community Charter Public"
"296","Alameda","Oakland Unified","Madison Park Academy 6-12"
"297","Alameda","Oakland Unified","Madison Park Academy TK-5"
"298","Alameda","Oakland Unified","Manzanita Community"
"299","Alameda","Oakland Unified","Manzanita SEED Elementary"
"300","Alameda","Oakland Unified","Markham Elementary"
"301","Alameda","Oakland Unified","Martin Luther King, Jr. Elementary"
"302","Alameda","Oakland Unified","McClymonds High"
"303","Alameda","Oakland Unified","Melrose Leadership Academy"
"304","Alameda","Oakland Unified","MetWest High"
"305","Alameda","Oakland Unified","Montclair Elementary"
"306","Alameda","Oakland Unified","Montera Middle"
"307","Alameda","Oakland Unified","New Highland Academy Elementary"
"308","Alameda","Oakland Unified","North Oakland Community Charter"
"309","Alameda","Oakland Unified","Oakland Academy of Knowledge"
"310","Alameda","Oakland Unified","Oakland Charter Academy"
"311","Alameda","Oakland Unified","Oakland Charter High"
"312","Alameda","Oakland Unified","Oakland High"
"313","Alameda","Oakland Unified","Oakland International High"
"314","Alameda","Oakland Unified","Oakland Military Institute, College Preparatory Academy"
"315","Alameda","Oakland Unified","Oakland School for the Arts"
"316","Alameda","Oakland Unified","Oakland Technical High"
"317","Alameda","Oakland Unified","Oakland Unity High"
"318","Alameda","Oakland Unified","Parker"
"319","Alameda","Oakland Unified","Peralta Elementary"
"320","Alameda","Oakland Unified","Piedmont Avenue Elementary"
"321","Alameda","Oakland Unified","Prescott Elementary"
"322","Alameda","Oakland Unified","Ralph J. Bunche Continuation High"
"323","Alameda","Oakland Unified","Reach Academy Elementary"
"324","Alameda","Oakland Unified","Redwood Heights Elementary"
"325","Alameda","Oakland Unified","Rise Community Elementary"
"326","Alameda","Oakland Unified","Roosevelt Middle"
"327","Alameda","Oakland Unified","Rudsdale Continuation High"
"328","Alameda","Oakland Unified","Sankofa United Elementary"
"329","Alameda","Oakland Unified","Sequoia Elementary"
"330","Alameda","Oakland Unified","Skyline High"
"331","Alameda","Oakland Unified","Street Academy Alternative High"
"332","Alameda","Oakland Unified","Think College Now Elementary"
"333","Alameda","Oakland Unified","Thornhill Elementary"
"334","Alameda","Oakland Unified","United for Success Academy Middle"
"335","Alameda","Oakland Unified","Urban Promise Academy Middle"
"336","Alameda","Oakland Unified","West Oakland Middle"
"337","Alameda","Oakland Unified","Westlake Middle"
"338","Alameda","Oakland Unified","Young Adult Program"
"339","Alameda","Piedmont City Unified","Beach Elementary"
"340","Alameda","Piedmont City Unified","Havens Elementary"
"341","Alameda","Piedmont City Unified","Millennium High Alternative"
"342","Alameda","Piedmont City Unified","Piedmont High"
"343","Alameda","Piedmont City Unified","Piedmont Middle"
"344","Alameda","Piedmont City Unified","Wildwood Elementary"
"345","Alameda","Pleasanton Unified","Alisal Elementary"
"346","Alameda","Pleasanton Unified","Amador Valley High"
"347","Alameda","Pleasanton Unified","Donlon Elementary"
"348","Alameda","Pleasanton Unified","Fairlands Elementary"
"349","Alameda","Pleasanton Unified","Foothill High"
"350","Alameda","Pleasanton Unified","Harvest Park Middle"
"351","Alameda","Pleasanton Unified","Henry P. Mohr Elementary"
"352","Alameda","Pleasanton Unified","Lydiksen Elementary"
"353","Alameda","Pleasanton Unified","Phoebe Apperson Hearst Elementary"
"354","Alameda","Pleasanton Unified","Pleasanton Middle"
"355","Alameda","Pleasanton Unified","Thomas S. Hart Middle"
"356","Alameda","Pleasanton Unified","Valley View Elementary"
"357","Alameda","Pleasanton Unified","Village High"
"358","Alameda","Pleasanton Unified","Vintage Hills Elementary"
"359","Alameda","Pleasanton Unified","Walnut Grove Elementary"
"360","Alameda","San Leandro Unified","Bancroft Middle"
"361","Alameda","San Leandro Unified","Garfield Elementary"
"362","Alameda","San Leandro Unified","Jefferson Elementary"
"363","Alameda","San Leandro Unified","John Muir Middle"
"364","Alameda","San Leandro Unified","Lincoln High (Continuation)"
"365","Alameda","San Leandro Unified","Madison Elementary"
"366","Alameda","San Leandro Unified","McKinley Elementary"
"367","Alameda","San Leandro Unified","Monroe Elementary"
"368","Alameda","San Leandro Unified","Roosevelt Elementary"
"369","Alameda","San Leandro Unified","San Leandro High"
"370","Alameda","San Leandro Unified","Washington Elementary"
"371","Alameda","San Leandro Unified","Wilson Elementary"
"372","Alameda","San Lorenzo Unified","Arroyo High"
"373","Alameda","San Lorenzo Unified","Bay Elementary"
"374","Alameda","San Lorenzo Unified","Bohannon Middle"
"375","Alameda","San Lorenzo Unified","Colonial Acres Elementary"
"376","Alameda","San Lorenzo Unified","Corvallis Elementary"
"377","Alameda","San Lorenzo Unified","Dayton Elementary"
"378","Alameda","San Lorenzo Unified","Del Rey Elementary"
"379","Alameda","San Lorenzo Unified","East Bay Arts High"
"380","Alameda","San Lorenzo Unified","Edendale Middle"
"381","Alameda","San Lorenzo Unified","Grant Elementary"
"382","Alameda","San Lorenzo Unified","Hesperian Elementary"
"383","Alameda","San Lorenzo Unified","Hillside Elementary"
"384","Alameda","San Lorenzo Unified","KIPP King Collegiate High"
"385","Alameda","San Lorenzo Unified","KIPP Summit Academy"
"386","Alameda","San Lorenzo Unified","Lorenzo Manor Elementary"
"387","Alameda","San Lorenzo Unified","Royal Sunset (Continuation)"
"388","Alameda","San Lorenzo Unified","San Lorenzo High"
"389","Alameda","San Lorenzo Unified","Washington Manor Middle"
"390","Alameda","SBE - Latitude 37.8 High","Latitude 37.8 High"
"391","Alameda","Sunol Glen Unified","Sunol Glen Elementary"
"392","Alpine","",""
"393","Alpine","Alpine County Unified","District Office"
"394","Alpine","Alpine County Unified","Bear Valley Elementary"
"395","Alpine","Alpine County Unified","Diamond Valley Elementary"
"396","Amador","",""
"397","Amador","Amador County Office of Education","District Office"
"398","Amador","Amador County Unified","District Office"
"399","Amador","Amador County Office of Education","Amador County Special Education"
"400","Amador","Amador County Office of Education","County Community"
"401","Amador","Amador County Unified","Amador High"
"402","Amador","Amador County Unified","Argonaut High"
"403","Amador","Amador County Unified","Independence High (Continuation)"
"404","Amador","Amador County Unified","Ione Elementary"
"405","Amador","Amador County Unified","Ione Junior High"
"406","Amador","Amador County Unified","Jackson Elementary"
"407","Amador","Amador County Unified","Jackson Junior High"
"408","Amador","Amador County Unified","North Star Independent Study"
"409","Amador","Amador County Unified","Pine Grove Elementary STEM Magnet"
"410","Amador","Amador County Unified","Pioneer Magnet School for the Visual and Performing Arts"
"411","Amador","Amador County Unified","Plymouth Elementary"
"412","Amador","Amador County Unified","Sutter Creek Elementary"
"413","Butte","",""
"414","Butte","Bangor Union Elementary","District Office"
"415","Butte","Biggs Unified","District Office"
"416","Butte","Butte County Office of Education","District Office"
"417","Butte","Chico Unified","District Office"
"418","Butte","Durham Unified","District Office"
"419","Butte","Golden Feather Union Elementary","District Office"
"420","Butte","Gridley Unified","District Office"
"421","Butte","Manzanita Elementary","District Office"
"422","Butte","Oroville City Elementary","District Office"
"423","Butte","Oroville Union High","District Office"
"424","Butte","Palermo Union Elementary","District Office"
"425","Butte","Paradise Unified","District Office"
"426","Butte","Pioneer Union Elementary","District Office"
"427","Butte","Thermalito Union Elementary","District Office"
"428","Butte","Bangor Union Elementary","Bangor Union Elementary"
"429","Butte","Biggs Unified","Biggs Elementary"
"430","Butte","Biggs Unified","Biggs High"
"431","Butte","Biggs Unified","Richvale Elementary"
"432","Butte","Butte County Office of Education","BASES Learning Center"
"433","Butte","Butte County Office of Education","Butte County Community"
"434","Butte","Butte County Office of Education","Butte County Special Education"
"435","Butte","Butte County Office of Education","Come Back Butte Charter"
"436","Butte","Butte County Office of Education","CORE Butte Charter"
"437","Butte","Butte County Office of Education","Hearthstone"
"438","Butte","Butte County Office of Education","Table Mountain"
"439","Butte","Chico Unified","Academy for Change"
"440","Butte","Chico Unified","Achieve Charter School of Chico"
"441","Butte","Chico Unified","Bidwell Junior High"
"442","Butte","Chico Unified","Blue Oak Charter"
"443","Butte","Chico Unified","Center for Alternative Learning"
"444","Butte","Chico Unified","Chapman Elementary"
"445","Butte","Chico Unified","Chico Country Day"
"446","Butte","Chico Unified","Chico High"
"447","Butte","Chico Unified","Chico Junior High"
"448","Butte","Chico Unified","Citrus Avenue Elementary"
"449","Butte","Chico Unified","Emma Wilson Elementary"
"450","Butte","Chico Unified","Fair View High (Continuation)"
"451","Butte","Chico Unified","Forest Ranch Charter"
"452","Butte","Chico Unified","Hooker Oak Elementary"
"453","Butte","Chico Unified","Inspire School of Arts and Sciences"
"454","Butte","Chico Unified","Little Chico Creek Elementary"
"455","Butte","Chico Unified","Loma Vista"
"456","Butte","Chico Unified","Marigold Elementary"
"457","Butte","Chico Unified","Marsh (Harry M.) Junior High"
"458","Butte","Chico Unified","McManus (John A.) Elementary"
"459","Butte","Chico Unified","Neal Dow Elementary"
"460","Butte","Chico Unified","Nord Country"
"461","Butte","Chico Unified","Oak Bridge Academy"
"462","Butte","Chico Unified","Oakdale"
"463","Butte","Chico Unified","Parkview Elementary"
"464","Butte","Chico Unified","Pivot Charter School North Valley II"
"465","Butte","Chico Unified","Pleasant Valley High"
"466","Butte","Chico Unified","Rosedale Elementary"
"467","Butte","Chico Unified","Shasta Elementary"
"468","Butte","Chico Unified","Sherwood Montessori"
"469","Butte","Chico Unified","Sierra View Elementary"
"470","Butte","Chico Unified","Wildflower Open Classroom"
"471","Butte","Durham Unified","Durham Elementary"
"472","Butte","Durham Unified","Durham High"
"473","Butte","Durham Unified","Durham Intermediate"
"474","Butte","Golden Feather Union Elementary","Concow Elementary"
"475","Butte","Gridley Unified","Esperanza High (Continuation)"
"476","Butte","Gridley Unified","Gridley High"
"477","Butte","Gridley Unified","McKinley Elementary"
"478","Butte","Gridley Unified","Sycamore Middle"
"479","Butte","Gridley Unified","Wilson Elementary"
"480","Butte","Manzanita Elementary","Manzanita Elementary"
"481","Butte","Oroville City Elementary","Central Middle"
"482","Butte","Oroville City Elementary","Ipakanni Early College Charter"
"483","Butte","Oroville City Elementary","Ishi Hills Middle"
"484","Butte","Oroville City Elementary","Oakdale Heights Elementary"
"485","Butte","Oroville City Elementary","Ophir Elementary"
"486","Butte","Oroville City Elementary","Stanford Avenue Elementary"
"487","Butte","Oroville City Elementary","STREAM Charter"
"488","Butte","Oroville City Elementary","Wyandotte Academy"
"489","Butte","Oroville Union High","Las Plumas High"
"490","Butte","Oroville Union High","Oroville High"
"491","Butte","Oroville Union High","Prospect High (Continuation)"
"492","Butte","Palermo Union Elementary","Golden Hills Elementary"
"493","Butte","Palermo Union Elementary","Helen M. Wilcox Elementary"
"494","Butte","Palermo Union Elementary","Honcut"
"495","Butte","Palermo Union Elementary","Palermo"
"496","Butte","Palermo Union Elementary","Palermo Union Community Day (K-8)"
"497","Butte","Paradise Unified","Achieve Charter School of Paradise Inc."
"498","Butte","Paradise Unified","Cedarwood Elementary"
"499","Butte","Paradise Unified","Children's Community Charter"
"500","Butte","Paradise Unified","HomeTech Charter"
"501","Butte","Paradise Unified","Paradise Charter Middle"
"502","Butte","Paradise Unified","Paradise eLearning Academy"
"503","Butte","Paradise Unified","Paradise Junior High"
"504","Butte","Paradise Unified","Paradise Ridge Elementary"
"505","Butte","Paradise Unified","Paradise Senior High"
"506","Butte","Paradise Unified","Pine Ridge"
"507","Butte","Paradise Unified","Ridgeview High (Continuation)"
"508","Butte","Pioneer Union Elementary","Berry Creek Elementary"
"509","Butte","Thermalito Union Elementary","Heritage Community Day"
